"ID","TITLE","TIER","TAGS"
"1147","BOJ 소풍","Platinum 3","기하학|수학|조합론"
"1148","단어 만들기","Gold 5","구현|문자열"
"1149","RGB거리","Silver 1","다이나믹 프로그래밍"
"1150","백업","Diamond 4","그리디 알고리즘|우선순위 큐|자료 구조"
"1151","그림자","Platinum 3","3차원 기하학|기하학|다각형의 넓이|많은 조건 분기|볼록 껍질"
"1152","단어의 개수","Bronze 2","구현|문자열"
"1153","네 개의 소수","Gold 3","소수 판정|수학|에라토스테네스의 체|정수론"
"1154","팀 편성","Platinum 5","그래프 이론|그래프 탐색|이분 그래프"
"1155","변형 하노이","Platinum 4","다이나믹 프로그래밍|애드 혹"
"1156","장난감","Diamond 5","그리디 알고리즘|덱|삼분 탐색|자료 구조"
"1157","단어 공부","Bronze 1","구현|문자열"
"1158","요세푸스 문제","Silver 4","구현|자료 구조|큐"
"1159","농구 경기","Bronze 2","구현|문자열"
"1160","Random Number Generator","Platinum 5","분할 정복을 이용한 거듭제곱|수학"
"1161","버스","Platinum 4","그리디 알고리즘|느리게 갱신되는 세그먼트 트리|세그먼트 트리|자료 구조"
"1162","도로포장","Platinum 5","그래프 이론|다이나믹 프로그래밍|데이크스트라|최단 경로"
"1163","증가하는 리스트","Diamond 5","구현|다이나믹 프로그래밍|문자열"
"1164","가리기","Platinum 2","그리디 알고리즘|백트래킹|애드 혹|홀짝성"
"1165","단어퍼즐","Diamond 4","그래프 이론|그래프 탐색|깊이 우선 탐색|런타임 전의 전처리|문자열|자료 구조|트라이|트리|파싱"
"1166","선물","Silver 3","이분 탐색"
"1167","트리의 지름","Gold 2","그래프 이론|그래프 탐색|깊이 우선 탐색|트리|트리의 지름"
"1168","요세푸스 문제 2","Platinum 3","세그먼트 트리|자료 구조"
"1169","정사각형 진열","Platinum 5","그리디 알고리즘|기하학|스택|자료 구조"
"1170","선인장의 개수","Platinum 3","그래프 이론|그래프 탐색|깊이 우선 탐색|선인장"
"1171","사오정","Platinum 1","다이나믹 프로그래밍"
"1172","선인장 Automorphisms","Diamond 2","그래프 이론|선인장|이중 연결 요소|자료 구조|트리|트리 동형 사상|해싱"
"1173","운동","Bronze 2","구현|시뮬레이션"
"1174","줄어드는 수","Gold 5","백트래킹|브루트포스 알고리즘"
"1175","배달","Gold 1","그래프 이론|그래프 탐색|너비 우선 탐색"
"1176","섞기","Gold 1","다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍"
"1177","조쌤포스","Platinum 5","기하학|많은 조건 분기|수학|스위핑"
"1178","간선 추가","Platinum 5","그래프 이론|오일러 경로"
"1179","마지막 요세푸스 문제","Platinum 1","다이나믹 프로그래밍|수학|재귀"
"1180","선인장의 지름","Diamond 3","그래프 이론|다이나믹 프로그래밍|선인장|이중 연결 요소|자료 구조|트리|트리에서의 다이나믹 프로그래밍"
"1181","단어 정렬","Silver 5","문자열|정렬"
"1182","부분수열의 합","Silver 2","백트래킹|브루트포스 알고리즘"
"1183","약속","Silver 2","수학|정렬"
"1184","귀농","Gold 1","누적 합|브루트포스 알고리즘|자료 구조|해시를 사용한 집합과 맵"
"1185","유럽여행","Platinum 4","그래프 이론|최소 스패닝 트리"
"1186","직사각형 색칠하기","Gold 3","값 / 좌표 압축|그리디 알고리즘|많은 조건 분기|정렬|집합과 맵"
"1187","숫자 놀이","Diamond 5","분할 정복|비둘기집 원리|수학|해 구성하기"
"1188","음식 평론가","Gold 4","수학|유클리드 호제법|정수론"
"1189","컴백홈","Silver 1","격자 그래프|그래프 이론|그래프 탐색|깊이 우선 탐색|백트래킹|브루트포스 알고리즘"
"1190","골 세레모니","Diamond 3","구현|기하학|많은 조건 분기|선분 교차 판정|스위핑"
"1191","게임","Diamond 5","게임 이론|구현|그래프 이론|그래프 탐색|너비 우선 탐색|다이나믹 프로그래밍|자료 구조|해시를 사용한 집합과 맵"
"1192","장갑","Diamond 4","브루트포스 알고리즘|비트마스킹|수학|스택|자료 구조"
"1193","분수찾기","Silver 5","구현|수학"
"1194","달이 차오른다, 가자.","Gold 1","격자 그래프|그래프 이론|그래프 탐색|너비 우선 탐색|비트마스킹"
"1195","킥다운","Silver 1","구현|브루트포스 알고리즘"
"1196","잭 바우어","Diamond 4","미적분학|수치해석|수학|임의 정밀도 / 큰 수 연산|확률론"
"1197","최소 스패닝 트리","Gold 4","그래프 이론|최소 스패닝 트리"
"1198","삼각형으로 자르기","Silver 2","기하학|브루트포스 알고리즘|수학"
"1199","오일러 회로","Platinum 4","그래프 이론|그래프 탐색|깊이 우선 탐색|오일러 경로|집합과 맵"
"1200","기상예측","Platinum 4","그리디 알고리즘|누적 합|다이나믹 프로그래밍|매개 변수 탐색|브루트포스 알고리즘|이분 탐색"
"1201","NMK","Platinum 3","그리디 알고리즘|해 구성하기"
"1202","보석 도둑","Gold 2","그리디 알고리즘|우선순위 큐|자료 구조|정렬"
"1203","게임","Platinum 3","다이나믹 프로그래밍|수학|임의 정밀도 / 큰 수 연산|확률론"
"1204","팰린드롬의 개수","Diamond 4","다이나믹 프로그래밍|문자열"
"1205","등수 구하기","Silver 4","구현"
"1206","사람의 수","Gold 5","브루트포스 알고리즘|수학"
"1207","종이 자르기","Gold 1","구현|백트래킹|브루트포스 알고리즘"
"1208","부분수열의 합 2","Gold 1","이분 탐색|중간에서 만나기|집합과 맵"
"1209","단조수열 만들기","Platinum 4","다이나믹 프로그래밍"
"1210","마피아","Platinum 1","그래프 이론|최대 유량|최대 유량 최소 컷 정리"
"1211","보일의 법칙","Diamond 5","다이나믹 프로그래밍|브루트포스 알고리즘|수학|자릿수를 이용한 다이나믹 프로그래밍"
"1212","8진수 2진수","Bronze 2","구현|문자열|수학"
"1213","팰린드롬 만들기","Silver 3","구현|그리디 알고리즘|문자열|홀짝성"
"1214","쿨한 물건 구매","Platinum 5","브루트포스 알고리즘|수학|정수론"
"1215","잘못 작성한 요세푸스 코드","Platinum 4","수학|정수론"
"1216","충무공 이순신","Diamond 1","링크/컷 트리|분리 집합|자료 구조|트리"
"1217","하우스 M.D.","Platinum 4","2-sat|강한 연결 요소|그래프 이론"
"1218","로봇","Diamond 1","값 / 좌표 압축|구현|기하학|스위핑|스택|자료 구조"
"1219","오민식의 고민","Platinum 5","그래프 이론|그래프 탐색|벨만–포드|최단 경로"
"1220","MEGACITY","Platinum 2","값 / 좌표 압축|격자 그래프|구현|그래프 이론|그래프 탐색|데이크스트라|최단 경로"
"1221","가까운 점","Platinum 1","3차원 기하학|기하학|스위핑|자료 구조|집합과 맵"
"1222","홍준 프로그래밍 대회","Gold 2","수학|정수론|조화수"
"1223","마법의 돌","Diamond 5","구현|다이나믹 프로그래밍|수학|이분 탐색|자릿수를 이용한 다이나믹 프로그래밍|조합론"
"1224","분수","Platinum 1","많은 조건 분기|수학|정수론"
"1225","이상한 곱셈","Bronze 2","구현|문자열|수학"
"1226","국회","Platinum 4","그리디 알고리즘|다이나믹 프로그래밍|배낭 문제|역추적|정렬"
"1227","그녀의 마음","Platinum 2","그래프 이론|그래프 탐색|너비 우선 탐색|수학"
"1228","전쟁","Platinum 4","다이나믹 프로그래밍|배낭 문제|자료 구조|집합과 맵|트리|트리에서의 다이나믹 프로그래밍|해시를 사용한 집합과 맵"
"1229","육각수","Gold 4","다이나믹 프로그래밍|런타임 전의 전처리|수학"
"1230","문자열 거리","Gold 1","다이나믹 프로그래밍|문자열"
"1231","주식왕 동호","Platinum 5","다이나믹 프로그래밍|배낭 문제"
"1232","체스","Diamond 4","그래프 이론|그래프 탐색|브루트포스 알고리즘|애드 혹"
"1233","주사위","Bronze 2","구현|브루트포스 알고리즘"
"1234","크리스마스 트리","Gold 2","다이나믹 프로그래밍|수학|조합론"
"1235","학생 번호","Silver 4","구현|문자열|브루트포스 알고리즘|자료 구조|집합과 맵"
"1236","성 지키기","Bronze 1","구현"
"1237","정ㅋ벅ㅋ","Unrated",
"1238","파티","Gold 3","그래프 이론|데이크스트라|최단 경로"
"1239","차트","Gold 5","브루트포스 알고리즘"
"1240","노드사이의 거리","Gold 5","그래프 이론|그래프 탐색|깊이 우선 탐색|너비 우선 탐색|트리"
"1241","머리 톡톡","Gold 5","소수 판정|수학|정수론|조화수"
"1242","소풍","Gold 2","수학"
"1243","팰린드롬","Diamond 4","다이나믹 프로그래밍|문자열"
"1244","스위치 켜고 끄기","Silver 4","구현|시뮬레이션"
"1245","농장 관리","Gold 5","그래프 이론|그래프 탐색|깊이 우선 탐색|너비 우선 탐색"
"1246","온라인 판매","Silver 4","그리디 알고리즘|정렬"
"1247","부호","Bronze 3","사칙연산|수학|임의 정밀도 / 큰 수 연산"
"1248","Guess","Gold 3","백트래킹|브루트포스 알고리즘"
"1249","워드똑똑","Platinum 2","다이나믹 프로그래밍|분할 정복을 이용한 거듭제곱|수학"
"1250","색칠된 공들","Diamond 1","구현|연결 리스트|우선순위 큐|자료 구조"
"1251","단어 나누기","Silver 5","구현|문자열|브루트포스 알고리즘|정렬"
"1252","이진수 덧셈","Bronze 2","구현|사칙연산|수학"
"1253","좋다","Gold 4","두 포인터|이분 탐색|자료 구조|정렬"
"1254","팰린드롬 만들기","Silver 2","문자열|브루트포스 알고리즘"
"1255","전쟁 - 선전포고","Platinum 4","구현|그래프 이론|기하학|데이크스트라|문자열|선분 교차 판정|최단 경로|파싱"
"1256","사전","Gold 2","다이나믹 프로그래밍|수학|조합론"
"1257","엄청난 부자","Diamond 5","0-1 너비 우선 탐색|그래프 이론|그리디 알고리즘|데이크스트라|수학|최단 경로"
"1258","문제 할당","Platinum 3","그래프 이론|최대 유량|최소 비용 최대 유량"
"1259","팰린드롬수","Bronze 1","구현|문자열"
"1260","DFS와 BFS","Silver 2","그래프 이론|그래프 탐색|깊이 우선 탐색|너비 우선 탐색"
"1261","알고스팟","Gold 4","0-1 너비 우선 탐색|격자 그래프|그래프 이론|그래프 탐색|데이크스트라|최단 경로"
"1262","알파벳 다이아몬드","Silver 1","구현"
"1263","시간 관리","Gold 5","그리디 알고리즘|정렬"
"1264","모음의 개수","Bronze 4","구현|문자열"
"1265","순열","Platinum 4","다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍|임의 정밀도 / 큰 수 연산"
"1266","일어나!","Diamond 1","구현|기하학|선분 교차 판정|스위핑"
"1267","핸드폰 요금","Bronze 3","사칙연산|수학"
"1268","임시 반장 정하기","Silver 5","구현"
"1269","대칭 차집합","Silver 4","자료 구조|집합과 맵|트리를 사용한 집합과 맵|해시를 사용한 집합과 맵"
"1270","전쟁 - 땅따먹기","Silver 3","구현|자료 구조|집합과 맵|해시를 사용한 집합과 맵"
"1271","엄청난 부자2","Bronze 5","사칙연산|수학|임의 정밀도 / 큰 수 연산"
"1272","특별 노드","Gold 2","다이나믹 프로그래밍|트리|트리에서의 다이나믹 프로그래밍"
"1273","샷","Platinum 3","누적 합|세그먼트 트리|자료 구조"
"1274","커피숍1","Unrated",
"1275","커피숍2","Gold 1","세그먼트 트리|자료 구조"
"1276","PLATFORME","Silver 1","구현|정렬"
"1277","발전소 설치","Gold 4","그래프 이론|데이크스트라|최단 경로"
"1278","연극","Gold 3","비트마스킹|수학|재귀"
"1279","내멋대로 주사위","Platinum 5","다이나믹 프로그래밍|배낭 문제|수학|조합론"
"1280","나무 심기","Platinum 4","세그먼트 트리|자료 구조"
"1281","보석상","Diamond 4","그래프 이론|선형 계획법|쌍대성|최대 유량|최소 비용 최대 유량|헝가리안"
"1282","P-수열","Platinum 1","다이나믹 프로그래밍|수학|자료 구조|조합론|해시를 사용한 집합과 맵"
"1283","단축키 지정","Silver 1","구현|문자열"
"1284","집 주소","Bronze 3","구현|사칙연산|수학"
"1285","동전 뒤집기","Gold 1","그리디 알고리즘|브루트포스 알고리즘|비트마스킹"
"1286","부분 직사각형","Gold 5","수학|조합론"
"1287","할 수 있다","Platinum 4","구현|많은 조건 분기|문자열|사칙연산|수학|스택|임의 정밀도 / 큰 수 연산|자료 구조|파싱"
"1288","전쟁 - 국지전","Diamond 4","기하학|다각형의 넓이|반평면 교집합|보로노이 다이어그램"
"1289","트리의 가중치","Platinum 3","다이나믹 프로그래밍|수학|트리|트리에서의 다이나믹 프로그래밍"
"1290","배럭","Platinum 1","구현|그리디 알고리즘|브루트포스 알고리즘|시뮬레이션"
"1291","이면수와 임현수","Silver 3","구현|많은 조건 분기|소인수분해|수학|정수론"
"1292","쉽게 푸는 문제","Bronze 1","구현|수학"
"1293","생물농축","Platinum 3","그래프 이론|다이나믹 프로그래밍|방향 비순환 그래프|배낭 문제|위상 정렬"
"1294","문자열 장식","Platinum 3","그리디 알고리즘|문자열|우선순위 큐|자료 구조|정렬"
"1295","평면도","Diamond 2","분리 집합|스위핑|자료 구조|집합과 맵|트리를 사용한 집합과 맵"
"1296","팀 이름 정하기","Bronze 1","구현|문자열|정렬"
"1297","TV 크기","Bronze 2","기하학|피타고라스 정리"
"1298","노트북의 주인을 찾아서","Platinum 4","이분 매칭"
"1299","전쟁 - 탈출편2","Unrated","그래프 이론|데이크스트라|최단 경로"
"1300","K번째 수","Gold 1","매개 변수 탐색|이분 탐색"
"1301","비즈 공예","Gold 2","다이나믹 프로그래밍"
"1302","베스트셀러","Silver 4","문자열|자료 구조|정렬|집합과 맵|해시를 사용한 집합과 맵"
"1303","전쟁 - 전투","Silver 1","격자 그래프|그래프 이론|그래프 탐색|깊이 우선 탐색|너비 우선 탐색"
"1304","지역","Gold 2","그래프 이론|브루트포스 알고리즘"
"1305","광고","Platinum 4","KMP|문자열"
"1306","달려라 홍준","Platinum 5","세그먼트 트리|슬라이딩 윈도우|자료 구조"
"1307","마방진","Platinum 4","구현|수학|애드 혹"
"1308","D-Day","Silver 5","구현"
"1309","동물원","Silver 1","다이나믹 프로그래밍"
"1310","달리기 코스","Platinum 3","기하학|볼록 껍질|회전하는 캘리퍼스"
"1311","할 일 정하기 1","Gold 1","다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍"
"1312","소수","Silver 5","수학"
"1313","합성소수","Gold 4","런타임 전의 전처리|브루트포스 알고리즘|소수 판정|수학|에라토스테네스의 체|정수론"
"1314","동굴 탐험","Platinum 2","그래프 이론|다이나믹 프로그래밍|데이크스트라|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍|최단 경로"
"1315","RPG","Platinum 3","다이나믹 프로그래밍"
"1316","그룹 단어 체커","Silver 5","구현|문자열"
"1317","그룹 단어","Platinum 5","그래프 이론|그래프 탐색|문자열|방향 비순환 그래프|위상 정렬"
"1318","포커","Gold 2","구현|런타임 전의 전처리|많은 조건 분기|브루트포스 알고리즘|수학|유클리드 호제법|정수론"
"1319","지민 vs 한수","Gold 2","기하학|브루트포스 알고리즘|스위핑"
"1321","군인","Platinum 5","세그먼트 트리|이분 탐색|자료 구조"
"1322","X와 K","Gold 4","비트마스킹|수학"
"1323","숫자 연결하기","Gold 4","비둘기집 원리|수학|정수론"
"1324","젠장","Unrated","다이나믹 프로그래밍"
"1325","효율적인 해킹","Silver 1","그래프 이론|그래프 탐색|깊이 우선 탐색|너비 우선 탐색"
"1326","폴짝폴짝","Silver 2","그래프 이론|그래프 탐색|너비 우선 탐색"
"1327","소트 게임","Gold 4","그래프 이론|그래프 탐색|너비 우선 탐색|자료 구조|집합과 맵|트리를 사용한 집합과 맵|해시를 사용한 집합과 맵"
"1328","고층 빌딩","Platinum 5","다이나믹 프로그래밍|수학|조합론"
"1329","증가 수열","Gold 2","백트래킹"
"1330","두 수 비교하기","Bronze 5","구현"
"1331","나이트 투어","Silver 4","구현|시뮬레이션"
"1332","풀자","Gold 3","브루트포스 알고리즘"
"1333","부재중 전화","Bronze 1","구현|시뮬레이션"
"1334","다음 팰린드롬 수","Gold 5","구현|많은 조건 분기|문자열"
"1335","여섯 쌍 서로소","Diamond 1","고속 푸리에 변환|뫼비우스 반전 공식|수학|이산 로그|정수론|중국인의 나머지 정리"
"1336","수열의 개수 NKD","Platinum 3","누적 합|다이나믹 프로그래밍"
"1337","올바른 배열","Silver 4","구현|두 포인터|자료 구조|정렬|집합과 맵"
"1338","알 수 없는 번호","Gold 4","많은 조건 분기|수학"
"1339","단어 수학","Gold 4","그리디 알고리즘"
"1340","연도 진행바","Silver 5","구현|문자열|파싱"
"1341","사이좋은 형제","Gold 3","구현|수학"
"1342","행운의 문자열","Silver 1","백트래킹|브루트포스 알고리즘|집합과 맵"
"1343","폴리오미노","Silver 5","구현|그리디 알고리즘|문자열"
